년도,월,나이,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020,1,90,"1,843",191,145,88,103,56,25,67,54,55,138,112,57,38,98,44,55,91,54,21,118,128,32,73,,
2020,1,100,230,47,10,5,8,5,2,5,3,3,15,17,5,5,13,11,21,11,14,3,9,13,1,4,,
2020,2,총,"517,087","27,411","43,676","23,998","25,617","11,435","3,654","16,981","6,795","5,463","43,970","26,313","18,786","11,953","21,991","6,853","5,755","22,781","10,776","4,124","75,127","52,654","24,652","26,322",,
2020,2,0,"48,587","1,574","4,272","2,113","4,180",532,124,"1,984",346,174,"3,187","1,510","2,252",752,"1,720",540,184,"1,178",614,134,"9,739","5,676","3,543","2,259",,
2020,2,10,"53,036","1,718","6,010","2,030","2,895",858,212,"1,457",513,312,"5,303","2,541","1,813",983,"2,245",479,316,"1,835",733,230,"8,507","6,265","2,995","2,786",,
2020,2,20,"69,285","2,955","5,610","2,920","2,154","1,527",351,"2,217",725,461,"6,825","3,787","2,429","2,148","2,964",924,688,"3,852","1,577",585,"10,064","7,303","3,172","4,047",,
2020,2,30,"77,367","2,997","5,863","4,036","4,940","1,396",379,"2,929",634,411,"5,440","3,177","3,170","2,135","2,667","1,114",610,"2,917","1,530",397,"14,320","8,057","4,689","3,559",,
2020,2,40,"91,046","3,968","8,756","4,683","4,928","1,737",454,"2,768",903,630,"7,903","4,384","3,431","2,000","3,744","1,134",821,"3,532","1,616",564,"14,364","9,333","5,011","4,382",,
2020,2,50,"84,074","5,194","6,706","3,822","2,843","2,134",715,"2,601","1,358","1,076","7,935","4,976","3,051","1,829","4,101","1,048","1,029","4,303","1,948",850,"10,145","8,400","3,139","4,871",,
2020,2,60,"50,530","4,437","3,466","2,409","1,974","1,718",694,"1,610","1,095","1,096","4,095","3,153","1,520","1,129","2,490",830,962,"2,776","1,428",707,"4,775","4,391","1,309","2,466",,
2020,2,70,"27,689","2,825","1,895","1,272","1,071","1,000",444,880,722,777,"2,132","1,823",713,660,"1,331",500,715,"1,594",862,451,"2,114","2,100",532,"1,276",,
2020,2,80,"13,394","1,505",942,616,524,472,254,460,440,465,"1,001",834,343,273,619,230,353,693,400,182,970,987,233,598,,
2020,2,90,"1,846",191,145,93,99,56,25,70,56,58,133,111,59,39,97,43,55,90,54,21,120,129,28,74,,
2020,2,100,233,47,11,4,9,5,2,5,3,3,16,17,5,5,13,11,22,11,14,3,9,13,1,4,,
2020,3,총,"519,124","27,439","43,709","23,947","25,736","11,425","3,651","17,821","6,774","5,431","43,942","26,285","19,141","11,974","21,956","6,992","5,763","22,768","10,794","4,139","75,587","52,830","24,743","26,277",,
2020,3,0,"48,500","1,566","4,259","2,099","4,162",529,122,"2,066",340,168,"3,156","1,501","2,298",741,"1,698",546,186,"1,165",605,133,"9,727","5,669","3,527","2,237",,
2020,3,10,"52,939","1,719","5,981","2,011","2,911",859,217,"1,504",509,307,"5,247","2,502","1,837",966,"2,229",485,308,"1,819",733,228,"8,533","6,262","3,016","2,756",,
2020,3,20,"70,145","2,963","5,663","2,936","2,182","1,519",358,"2,426",723,460,"6,906","3,781","2,500","2,165","2,981",955,706,"3,892","1,596",599,"10,200","7,376","3,213","4,045",,
2020,3,30,"77,513","2,973","5,804","4,017","4,963","1,379",372,"3,147",640,391,"5,403","3,172","3,248","2,129","2,649","1,157",622,"2,891","1,527",395,"14,313","8,069","4,694","3,558",,
2020,3,40,"91,109","3,981","8,766","4,632","4,944","1,738",456,"2,853",896,632,"7,828","4,392","3,479","1,993","3,723","1,152",808,"3,511","1,614",565,"14,464","9,318","5,019","4,345",,
2020,3,50,"84,435","5,187","6,713","3,832","2,861","2,130",703,"2,705","1,352","1,069","7,979","4,974","3,105","1,849","4,091","1,068","1,025","4,302","1,944",849,"10,235","8,448","3,139","4,875",,
2020,3,60,"51,035","4,458","3,509","2,428","1,994","1,738",695,"1,665","1,090","1,093","4,133","3,155","1,554","1,138","2,514",840,967,"2,791","1,440",713,"4,863","4,425","1,334","2,498",,
2020,3,70,"27,850","2,838","1,904","1,279","1,077","1,000",450,900,725,781,"2,141","1,846",715,668,"1,341",504,712,"1,594",863,449,"2,129","2,115",537,"1,282",,
2020,3,80,"13,491","1,513",951,620,531,473,251,474,440,463,"1,001",836,342,281,621,231,352,701,404,183,989,"1,001",232,601,,
2020,3,90,"1,870",193,148,89,102,55,24,75,56,64,132,109,58,38,97,43,55,91,53,22,125,134,31,76,,
2020,3,100,237,48,11,4,9,5,3,6,3,3,16,17,5,6,12,11,22,11,15,3,9,13,1,4,,
2020,4,총,"520,649","27,495","43,796","23,979","25,787","11,409","3,645","18,374","6,757","5,420","43,997","26,185","19,271","12,020","21,985","7,104","5,772","22,814","10,759","4,163","75,790","52,977","24,820","26,330",,
2020,4,0,"48,432","1,567","4,235","2,086","4,135",529,121,"2,120",338,165,"3,132","1,480","2,304",732,"1,693",553,183,"1,166",601,133,"9,704","5,693","3,528","2,234",,
2020,4,10,"52,932","1,731","5,965","2,007","2,936",856,218,"1,556",499,307,"5,197","2,493","1,842",963,"2,230",491,312,"1,817",718,228,"8,553","6,244","3,028","2,741",,
2020,4,20,"70,582","2,961","5,706","2,957","2,202","1,512",351,"2,543",730,459,"6,980","3,761","2,522","2,196","2,967",971,715,"3,911","1,586",614,"10,241","7,391","3,231","4,075",,
2020,4,30,"77,768","2,988","5,806","4,007","4,960","1,358",367,"3,287",632,389,"5,411","3,153","3,306","2,122","2,677","1,181",620,"2,901","1,521",395,"14,342","8,085","4,698","3,562",,
2020,4,40,"91,173","3,965","8,751","4,628","4,957","1,736",464,"2,941",887,633,"7,790","4,366","3,478","2,000","3,721","1,172",802,"3,494","1,607",555,"14,518","9,334","5,035","4,339",,
2020,4,50,"84,715","5,189","6,761","3,845","2,870","2,134",700,"2,766","1,349","1,065","8,016","4,953","3,119","1,868","4,074","1,092","1,029","4,296","1,940",858,"10,268","8,485","3,149","4,889",,
2020,4,60,"51,443","4,493","3,537","2,446","2,002","1,741",696,"1,699","1,097","1,090","4,170","3,164","1,574","1,144","2,539",851,969,"2,828","1,443",719,"4,907","4,470","1,351","2,513",,
2020,4,70,"27,931","2,841","1,917","1,288","1,086","1,004",449,908,723,785,"2,155","1,849",723,671,"1,348",506,713,"1,590",863,450,"2,139","2,103",533,"1,287",,
2020,4,80,"13,547","1,517",955,620,529,482,252,471,443,458,996,837,343,280,626,232,351,710,411,185,984,"1,022",234,609,,
2020,4,90,"1,887",195,152,91,100,53,24,77,57,66,132,112,54,39,98,44,56,90,54,23,125,137,32,76,,
2020,4,100,239,48,11,4,10,4,3,6,2,3,18,17,6,5,12,11,22,11,15,3,9,13,1,5,,
2020,5,총,"522,111","27,505","43,802","24,037","25,773","11,381","3,634","19,178","6,759","5,426","44,081","26,051","19,352","12,071","22,036","7,233","5,772","22,843","10,765","4,152","76,088","52,935","24,825","26,412",,
2020,5,0,"48,483","1,569","4,237","2,068","4,118",533,115,"2,234",337,164,"3,117","1,467","2,312",719,"1,700",560,187,"1,160",584,131,"9,735","5,678","3,523","2,235",,
2020,5,10,"52,782","1,728","5,945","2,018","2,932",846,213,"1,626",498,305,"5,161","2,456","1,831",955,"2,222",496,310,"1,811",715,224,"8,527","6,204","3,019","2,740",,
2020,5,20,"70,912","2,962","5,700","2,966","2,204","1,508",355,"2,697",728,464,"7,044","3,730","2,528","2,226","2,976","1,010",718,"3,898","1,595",611,"10,286","7,364","3,247","4,095",,
2020,5,30,"78,067","2,989","5,835","4,013","4,908","1,349",366,"3,465",622,383,"5,421","3,135","3,338","2,132","2,674","1,211",624,"2,929","1,520",400,"14,447","8,071","4,671","3,564",,
2020,5,40,"91,309","3,946","8,703","4,625","4,989","1,718",465,"3,079",900,636,"7,789","4,325","3,496","2,000","3,732","1,196",803,"3,485","1,611",556,"14,547","9,328","5,057","4,323",,
2020,5,50,"85,026","5,194","6,782","3,861","2,879","2,137",696,"2,853","1,344","1,057","8,057","4,930","3,129","1,876","4,096","1,102","1,021","4,307","1,939",849,"10,330","8,501","3,149","4,937",,
2020,5,60,"51,749","4,501","3,564","2,470","2,016","1,737",698,"1,738","1,107","1,099","4,177","3,182","1,590","1,159","2,549",855,964,"2,848","1,448",715,"4,941","4,497","1,351","2,543",,
2020,5,70,"28,060","2,846","1,924","1,293","1,090","1,015",446,924,725,790,"2,167","1,856",722,680,"1,348",514,712,"1,586",869,453,"2,163","2,114",541,"1,282",,
2020,5,80,"13,585","1,525",957,627,526,478,254,481,438,457,"1,001",837,346,279,628,233,355,717,412,187,974,"1,028",236,609,,
2020,5,90,"1,899",196,145,92,101,54,23,75,58,68,129,116,54,40,99,45,56,91,57,23,130,137,31,79,,
2020,5,100,239,49,10,4,10,6,3,6,2,3,18,17,6,5,12,11,22,11,15,3,8,13,0,5,,
2020,6,총,"523,881","27,593","43,870","24,088","25,919","11,374","3,634","19,964","6,767","5,419","44,028","25,945","19,474","12,147","22,022","7,295","5,776","22,798","10,751","4,153","76,512","53,122","24,832","26,398",,
2020,6,0,"48,507","1,579","4,210","2,050","4,116",529,116,"2,331",336,162,"3,086","1,442","2,328",705,"1,690",572,177,"1,156",581,133,"9,751","5,705","3,514","2,238",,
2020,6,10,"52,815","1,743","5,946","2,022","2,968",841,215,"1,688",501,301,"5,120","2,437","1,829",947,"2,229",499,306,"1,786",709,220,"8,562","6,205","3,008","2,733",,
2020,6,20,"71,234","2,939","5,747","2,984","2,214","1,519",356,"2,820",726,463,"7,065","3,703","2,561","2,253","2,946","1,027",718,"3,897","1,586",614,"10,339","7,401","3,263","4,093",,
2020,6,30,"78,308","3,010","5,808","4,011","4,912","1,336",355,"3,669",627,380,"5,414","3,137","3,356","2,144","2,661","1,212",627,"2,931","1,530",399,"14,497","8,060","4,658","3,574",,
2020,6,40,"91,649","3,956","8,727","4,643","5,049","1,715",468,"3,213",897,636,"7,775","4,296","3,516","2,017","3,737","1,213",806,"3,474","1,611",547,"14,630","9,366","5,065","4,292",,
2020,6,50,"85,180","5,204","6,785","3,864","2,891","2,127",697,"2,943","1,339","1,051","8,030","4,920","3,146","1,888","4,108","1,104","1,030","4,291","1,914",846,"10,397","8,523","3,153","4,929",,
2020,6,60,"52,279","4,534","3,607","2,500","2,039","1,750",703,"1,790","1,112","1,103","4,212","3,184","1,612","1,185","2,561",865,967,"2,872","1,472",728,"5,017","4,549","1,367","2,550",,
2020,6,70,"28,171","2,863","1,929","1,291","1,098","1,021",445,940,728,795,"2,174","1,859",726,682,"1,348",513,714,"1,576",865,452,"2,198","2,125",537,"1,292",,
2020,6,80,"13,594","1,520",957,628,520,476,253,486,439,452,"1,009",834,344,277,630,233,352,717,410,186,982,"1,038",236,615,,
2020,6,90,"1,907",195,144,91,104,55,24,78,60,73,126,115,50,44,99,46,57,87,58,25,131,137,31,77,,
2020,6,100,237,50,10,4,8,5,2,6,2,3,17,18,6,5,13,11,22,11,15,3,8,13,0,5,,
2020,7,총,"525,378","27,613","43,906","24,084","26,078","11,365","3,630","20,414","6,745","5,391","44,013","25,812","19,601","12,254","22,043","7,376","5,780","22,808","10,727","4,162","77,055","53,295","24,765","26,461",,
2020,7,0,"48,577","1,574","4,195","2,028","4,126",524,115,"2,400",327,159,"3,064","1,417","2,353",711,"1,681",593,171,"1,141",581,127,"9,842","5,718","3,487","2,243",,
2020,7,10,"52,809","1,751","5,944","2,016","3,012",838,216,"1,712",492,305,"5,067","2,418","1,850",939,"2,218",500,299,"1,794",694,215,"8,597","6,198","3,008","2,726",,
2020,7,20,"71,509","2,937","5,740","3,022","2,217","1,504",353,"2,896",724,460,"7,059","3,690","2,573","2,278","2,960","1,033",723,"3,890","1,583",619,"10,427","7,452","3,261","4,108",,
2020,7,30,"78,517","2,997","5,808","3,963","4,918","1,335",346,"3,790",621,371,"5,429","3,122","3,365","2,180","2,658","1,250",640,"2,926","1,537",411,"14,558","8,088","4,628","3,576",,
2020,7,40,"91,885","3,959","8,721","4,652","5,115","1,725",471,"3,284",892,635,"7,755","4,265","3,553","2,023","3,742","1,208",797,"3,470","1,592",545,"14,752","9,384","5,051","4,294",,
2020,7,50,"85,361","5,198","6,823","3,856","2,900","2,132",689,"3,012","1,336","1,044","8,030","4,906","3,160","1,898","4,106","1,111","1,026","4,301","1,909",843,"10,457","8,530","3,152","4,942",,
2020,7,60,"52,634","4,549","3,612","2,521","2,056","1,753",707,"1,799","1,114","1,109","4,265","3,178","1,620","1,204","2,591",870,976,"2,896","1,474",731,"5,066","4,589","1,377","2,577",,
2020,7,70,"28,285","2,875","1,949","1,302","1,095","1,016",449,944,737,781,"2,198","1,845",727,690,"1,342",520,718,"1,574",874,454,"2,225","2,142",536,"1,292",,
2020,7,80,"13,647","1,523",963,627,527,476,257,494,433,450,"1,006",839,344,281,634,232,351,719,411,188,989,"1,048",235,620,,
2020,7,90,"1,917",200,141,93,105,57,25,77,67,74,123,115,50,45,98,48,56,86,57,25,134,133,30,78,,
2020,7,100,237,50,10,4,7,5,2,6,2,3,17,17,6,5,13,11,23,11,15,4,8,13,0,5,,
2020,8,총,"527,166","27,604","43,884","24,088","26,152","11,343","3,662","20,698","6,771","5,369","43,999","25,682","19,673","12,398","22,132","7,427","5,779","22,809","10,753","4,165","78,192","53,379","24,781","26,426",,
2020,8,0,"48,636","1,575","4,177","2,022","4,099",514,113,"2,429",330,160,"3,037","1,384","2,362",723,"1,690",589,173,"1,117",578,125,"9,988","5,741","3,463","2,247",,
2020,8,10,"52,815","1,731","5,934","1,992","3,043",824,220,"1,714",497,298,"5,048","2,397","1,847",944,"2,224",501,296,"1,787",688,214,"8,696","6,189","3,023","2,708",,
2020,8,20,"71,770","2,939","5,721","3,023","2,239","1,502",360,"2,950",728,460,"7,062","3,683","2,579","2,327","2,972","1,034",723,"3,904","1,588",623,"10,572","7,418","3,272","4,091",,
2020,8,30,"78,801","2,986","5,779","3,952","4,901","1,328",352,"3,888",627,366,"5,406","3,102","3,376","2,189","2,674","1,256",638,"2,926","1,534",421,"14,820","8,100","4,607","3,573",,
2020,8,40,"92,099","3,952","8,703","4,666","5,146","1,724",469,"3,294",895,627,"7,742","4,239","3,562","2,056","3,736","1,222",784,"3,465","1,592",540,"14,946","9,394","5,072","4,273",,
2020,8,50,"85,691","5,179","6,872","3,878","2,895","2,127",695,"3,068","1,326","1,037","8,018","4,883","3,172","1,924","4,118","1,128","1,031","4,304","1,923",834,"10,633","8,539","3,158","4,949",,
2020,8,60,"53,105","4,593","3,623","2,523","2,088","1,761",713,"1,826","1,125","1,110","4,337","3,183","1,644","1,207","2,617",877,984,"2,911","1,482",738,"5,147","4,644","1,384","2,588",,
2020,8,70,"28,329","2,874","1,958","1,306","1,096","1,019",452,948,734,784,"2,190","1,843",726,693,"1,353",523,717,"1,574",884,452,"2,237","2,148",529,"1,289",,
2020,8,80,"13,746","1,526",967,622,531,481,260,497,435,450,"1,018",836,349,285,636,239,352,727,412,189,"1,008","1,058",243,625,,
2020,8,90,"1,937",198,140,100,107,58,26,78,72,74,124,115,51,45,99,47,58,83,57,25,137,135,30,78,,
2020,8,100,237,51,10,4,7,5,2,6,2,3,17,17,5,5,13,11,23,11,15,4,8,13,0,5,,
2020,9,총,"529,140","27,568","43,824","24,088","26,292","11,336","3,659","21,064","6,747","5,333","44,008","25,582","19,722","12,478","22,141","7,470","5,784","22,806","10,714","4,128","79,763","53,432","24,832","26,369",,
2020,9,0,"48,674","1,565","4,141","2,015","4,101",505,115,"2,457",334,156,"3,008","1,355","2,356",725,"1,682",593,171,"1,115",565,121,"10,207","5,717","3,438","2,232",,
2020,9,10,"52,896","1,724","5,898","1,992","3,078",820,212,"1,747",494,292,"5,018","2,371","1,839",942,"2,230",502,301,"1,774",685,216,"8,831","6,191","3,037","2,702",,
2020,9,20,"72,024","2,927","5,731","3,020","2,259","1,492",361,"3,045",720,458,"7,079","3,673","2,592","2,344","2,962","1,048",716,"3,904","1,590",614,"10,728","7,412","3,300","4,049",,
2020,9,30,"79,058","2,960","5,732","3,937","4,894","1,319",353,"3,961",618,356,"5,391","3,088","3,387","2,215","2,661","1,272",638,"2,893","1,524",414,"15,174","8,073","4,631","3,567",,
2020,9,40,"92,522","3,953","8,705","4,664","5,207","1,716",468,"3,365",898,618,"7,723","4,221","3,584","2,080","3,734","1,226",789,"3,487","1,592",529,"15,247","9,406","5,048","4,262",,
2020,9,50,"85,941","5,143","6,875","3,883","2,912","2,139",690,"3,103","1,318","1,022","8,058","4,863","3,188","1,933","4,120","1,126","1,032","4,293","1,905",825,"10,836","8,552","3,173","4,952",,
2020,9,60,"53,626","4,630","3,666","2,534","2,101","1,771",719,"1,856","1,130","1,120","4,364","3,196","1,647","1,209","2,631",878,991,"2,941","1,490",740,"5,299","4,704","1,404","2,605",,
2020,9,70,"28,367","2,875","1,955","1,310","1,088","1,023",453,947,728,785,"2,201","1,832",721,688,"1,374",524,712,"1,571",876,452,"2,268","2,163",534,"1,287",,
2020,9,80,"13,819","1,534",967,626,535,485,262,499,432,446,"1,023",849,350,290,636,243,353,733,414,187,"1,026","1,065",236,628,,
2020,9,90,"1,976",206,145,103,111,61,24,78,73,77,125,117,53,47,98,47,58,84,58,26,138,136,31,80,,
2020,9,100,237,51,9,4,6,5,2,6,2,3,18,17,5,5,13,11,23,11,15,4,9,13,0,5,,
2020,10,총,"531,655","27,532","43,724","24,105","26,341","11,418","3,683","21,714","6,702","5,344","43,885","25,560","19,762","12,510","22,111","7,486","5,778","22,756","10,681","4,102","81,805","53,498","24,873","26,285",,
2020,10,0,"48,734","1,555","4,102","1,989","4,075",500,113,"2,511",311,154,"2,974","1,345","2,345",720,"1,667",594,163,"1,094",549,118,"10,492","5,727","3,412","2,224",,
2020,10,10,"53,086","1,694","5,898","1,985","3,095",858,215,"1,777",492,297,"4,980","2,362","1,836",935,"2,226",499,313,"1,765",670,214,"9,011","6,212","3,064","2,688",,
2020,10,20,"72,357","2,940","5,715","3,002","2,270","1,490",366,"3,217",711,462,"7,073","3,681","2,604","2,370","2,945","1,049",719,"3,879","1,594",607,"10,967","7,364","3,312","4,020",,
2020,10,30,"79,520","2,948","5,693","3,949","4,873","1,324",349,"4,112",610,354,"5,359","3,086","3,366","2,201","2,643","1,281",642,"2,887","1,525",422,"15,671","8,052","4,621","3,552",,
2020,10,40,"92,941","3,944","8,687","4,655","5,254","1,738",476,"3,487",887,626,"7,670","4,192","3,603","2,099","3,718","1,222",786,"3,497","1,579",523,"15,618","9,412","5,040","4,228",,
2020,10,50,"86,383","5,142","6,886","3,910","2,915","2,142",687,"3,171","1,328","1,012","8,082","4,865","3,215","1,941","4,113","1,141","1,011","4,295","1,910",812,"11,091","8,576","3,191","4,947",,
2020,10,60,"54,116","4,653","3,679","2,561","2,107","1,788",733,"1,901","1,126","1,123","4,389","3,210","1,661","1,213","2,659",879,997,"2,931","1,496",740,"5,459","4,763","1,425","2,623",,
2020,10,70,"28,421","2,866","1,945","1,316","1,094","1,025",453,957,729,789,"2,194","1,835",717,692,"1,387",526,710,"1,572",865,452,"2,316","2,175",533,"1,273",,
2020,10,80,"13,884","1,534",966,631,540,487,265,497,435,448,"1,017",850,356,287,642,237,357,742,420,184,"1,033","1,068",245,643,,
2020,10,90,"1,978",207,144,103,112,61,24,78,71,76,129,117,54,47,98,47,57,83,58,26,138,136,30,82,,
2020,10,100,235,49,9,4,6,5,2,6,2,3,18,17,5,5,13,11,23,11,15,4,9,13,0,5,,
2020,11,총,"534,343","27,553","43,703","24,026","26,467","11,382","3,681","22,502","6,704","5,322","43,885","25,516","19,754","12,537","22,061","7,479","5,767","22,745","10,665","4,098","83,579","53,677","24,962","26,278",,
2020,11,0,"48,882","1,546","4,065","1,942","4,057",502,115,"2,622",312,151,"2,958","1,329","2,316",719,"1,635",595,166,"1,074",539,124,"10,737","5,742","3,409","2,227",,
2020,11,10,"53,148","1,704","5,868","1,986","3,126",836,215,"1,819",491,298,"4,949","2,349","1,838",918,"2,226",501,303,"1,753",663,208,"9,148","6,203","3,075","2,671",,
2020,11,20,"72,932","2,930","5,730","3,011","2,280","1,494",360,"3,383",705,453,"7,077","3,673","2,622","2,399","2,944","1,052",725,"3,926","1,596",616,"11,215","7,377","3,351","4,013",,
2020,11,30,"79,942","2,944","5,687","3,916","4,860","1,326",343,"4,311",608,358,"5,360","3,082","3,349","2,204","2,608","1,277",638,"2,871","1,506",417,"16,054","8,062","4,616","3,545",,
2020,11,40,"93,403","3,949","8,671","4,648","5,323","1,722",480,"3,597",894,625,"7,640","4,164","3,615","2,096","3,714","1,216",783,"3,487","1,592",519,"15,953","9,429","5,069","4,217",,
2020,11,50,"86,674","5,133","6,895","3,887","2,934","2,140",682,"3,275","1,320",984,"8,090","4,868","3,199","1,944","4,101","1,142","1,005","4,283","1,902",812,"11,315","8,616","3,189","4,958",,
2020,11,60,"54,648","4,684","3,715","2,583","2,128","1,793",736,"1,933","1,138","1,138","4,431","3,226","1,686","1,215","2,680",877,"1,000","2,931","1,503",733,"5,612","4,830","1,442","2,634",,
2020,11,70,"28,518","2,860","1,944","1,314","1,098","1,025",457,978,723,784,"2,207","1,831",718,697,"1,396",519,709,"1,578",873,450,"2,349","2,191",534,"1,283",,
2020,11,80,"13,956","1,546",975,631,540,477,267,499,442,452,"1,020",860,351,292,644,243,354,743,419,189,"1,046","1,077",247,642,,
2020,11,90,"2,006",208,144,104,115,62,24,80,69,76,135,117,55,48,100,46,62,88,57,26,141,136,30,83,,
2020,11,100,234,49,9,4,6,5,2,5,2,3,18,17,5,5,13,11,22,11,15,4,9,14,0,5,,
2020,12,총,"537,307","27,696","43,668","24,010","26,705","11,401","3,683","23,052","6,717","5,311","43,954","25,454","19,859","12,571","22,042","7,446","5,770","22,779","10,686","4,087","85,171","53,769","25,034","26,442",,
2020,12,0,"49,153","1,554","4,017","1,932","4,080",498,118,"2,692",312,157,"2,927","1,325","2,332",712,"1,622",590,169,"1,063",543,122,"10,970","5,745","3,404","2,269",,
2020,12,10,"53,214","1,715","5,836","1,966","3,137",829,208,"1,860",489,295,"4,933","2,334","1,836",908,"2,221",497,301,"1,753",654,204,"9,274","6,198","3,088","2,678",,
2020,12,20,"73,430","2,955","5,762","3,042","2,325","1,498",360,"3,496",698,445,"7,099","3,649","2,631","2,421","2,935","1,043",730,"3,944","1,618",614,"11,398","7,385","3,368","4,014",,
2020,12,30,"80,697","2,995","5,652","3,902","4,912","1,344",347,"4,463",611,355,"5,363","3,089","3,372","2,210","2,591","1,265",635,"2,875","1,497",421,"16,465","8,089","4,633","3,611",,
2020,12,40,"93,800","3,940","8,652","4,626","5,385","1,709",476,"3,671",900,622,"7,638","4,134","3,631","2,095","3,716","1,208",790,"3,481","1,601",505,"16,241","9,447","5,096","4,236",,
2020,12,50,"86,913","5,154","6,893","3,880","2,945","2,140",683,"3,327","1,313",980,"8,120","4,841","3,206","1,952","4,087","1,151","1,003","4,275","1,893",810,"11,496","8,618","3,191","4,955",,
2020,12,60,"55,209","4,714","3,778","2,607","2,145","1,811",738,"1,964","1,154","1,135","4,482","3,242","1,711","1,226","2,713",877,998,"2,962","1,510",739,"5,731","4,863","1,443","2,666",,
2020,12,70,"28,554","2,863","1,937","1,318","1,102","1,024",458,980,719,786,"2,205","1,839",723,699,"1,388",512,706,"1,576",877,454,"2,381","2,198",534,"1,275",,
2020,12,80,"14,096","1,547",984,631,554,484,268,513,451,457,"1,033",867,356,297,651,247,354,752,419,188,"1,064","1,085",244,650,,
2020,12,90,"2,008",210,149,102,114,60,25,81,68,76,136,117,55,46,104,45,61,87,59,26,143,128,33,83,,
2020,12,100,233,49,8,4,6,4,2,5,2,3,18,17,6,5,14,11,23,11,15,4,8,13,0,5,,
2021,1,총,"540,929","27,802","43,608","24,118","26,873","11,373","3,675","23,485","6,709","5,291","44,007","25,475","19,943","12,661","22,074","7,423","5,770","22,773","10,708","4,111","86,384","53,936","25,138","27,592",,
2021,1,0,"49,332","1,555","3,982","1,909","4,071",491,119,"2,714",310,154,"2,909","1,324","2,333",711,"1,611",573,169,"1,042",537,127,"11,150","5,740","3,379","2,422",,
2021,1,10,"53,435","1,738","5,802","1,966","3,182",821,207,"1,883",482,290,"4,897","2,321","1,834",896,"2,221",494,298,"1,743",651,204,"9,394","6,224","3,126","2,761",,
2021,1,20,"73,980","2,967","5,764","3,084","2,363","1,490",351,"3,612",703,439,"7,149","3,657","2,644","2,434","2,930","1,050",728,"3,949","1,627",607,"11,477","7,400","3,381","4,174",,
2021,1,30,"81,379","3,009","5,624","3,930","4,895","1,343",349,"4,545",611,346,"5,349","3,091","3,391","2,235","2,598","1,259",639,"2,893","1,490",433,"16,770","8,058","4,634","3,887",,
