년도,월,나이,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020,3,총,"827,603","78,600","17,314","83,614","39,409","7,337","5,831","6,922","10,951","7,071","9,883","10,245","4,023","11,292","19,315","43,748","28,239","24,500","32,227","13,844","23,410","50,457","35,980","41,688","53,487","38,257","29,793","76,511","23,655"
2020,3,0,"105,999","8,492",997,"10,893","4,079",340,252,275,492,187,312,426,117,458,"3,568","4,692","2,830","2,710","4,563","1,459","1,936","6,607","4,718","6,231","9,872","6,120","4,467","14,704","4,202"
2020,3,10,"94,023","9,727","1,475","9,779","3,413",507,337,455,821,315,472,633,171,822,"1,810","4,042","3,226","4,008","3,931","1,914","2,334","6,955","6,454","5,283","8,452","3,841","2,792","8,014","2,040"
2020,3,20,"98,748","9,560","1,780","9,857","5,249",852,603,738,"1,010",551,"1,006",998,387,"1,304","2,287","6,990","4,606","2,829","4,097","1,661","3,089","7,285","3,644","5,817","4,175","4,109","4,236","7,323","2,705"
2020,3,30,"150,282","11,226","1,694","15,921","6,831",690,496,745,894,547,"1,031",893,383,"1,147","4,509","9,280","4,578","3,341","6,048","1,649","3,138","9,724","4,599","8,636","10,069","9,458","7,614","18,641","6,500"
2020,3,40,"158,021","15,373","2,782","16,589","6,438","1,024",690,"1,021","1,466",836,"1,506","1,328",502,"1,687","3,512","7,745","5,183","5,462","5,908","2,806","4,035","10,380","8,787","8,327","13,005","7,356","5,339","14,914","4,020"
2020,3,50,"110,008","11,854","3,444","10,376","6,265","1,557","1,269","1,431","2,193","1,619","2,339","2,223",940,"2,395","2,354","5,660","3,960","3,132","4,412","2,168","4,162","6,001","4,491","3,930","4,985","3,843","3,073","7,618","2,314"
2020,3,60,"64,097","7,274","2,599","5,817","4,121","1,242","1,089","1,175","1,966","1,590","1,798","1,945",808,"1,839",933,"3,210","2,243","1,617","2,193","1,275","2,806","2,203","1,879","1,925","1,911","2,206","1,456","3,669","1,308"
2020,3,70,"30,612","3,507","1,605","2,851","1,954",724,647,686,"1,247",821,840,"1,094",429,"1,008",223,"1,456","1,139",935,730,638,"1,287",905,"1,009","1,115",718,956,553,"1,149",386
2020,3,80,"13,805","1,360",825,"1,359",925,355,377,346,729,522,502,636,257,552,103,586,420,414,291,245,554,349,352,378,255,322,224,412,155
2020,3,90,"1,900",214,108,162,131,43,68,46,125,74,72,62,28,71,16,85,53,52,52,27,61,46,44,45,45,43,38,64,25
2020,3,100,108,13,5,10,3,3,3,4,8,9,5,7,1,9,0,2,1,0,2,2,8,2,3,1,0,3,1,3,0
2020,4,총,"831,888","78,829","17,427","83,970","39,574","7,334","5,829","6,947","10,962","7,070","9,895","10,277","4,031","11,298","19,415","43,977","28,224","24,537","32,438","13,860","23,419","50,639","36,043","41,794","53,531","38,672","30,174","77,083","24,639"
2020,4,0,"105,995","8,453",994,"10,867","4,078",331,249,279,495,184,309,421,116,453,"3,574","4,673","2,810","2,697","4,562","1,458","1,932","6,591","4,670","6,168","9,834","6,140","4,491","14,716","4,450"
2020,4,10,"94,360","9,740","1,478","9,809","3,423",503,335,448,819,309,473,633,172,813,"1,827","4,040","3,187","4,005","3,971","1,901","2,313","6,953","6,474","5,310","8,495","3,884","2,825","8,133","2,087"
2020,4,20,"99,910","9,627","1,808","9,979","5,306",861,605,741,998,563,"1,013",990,390,"1,317","2,290","7,047","4,645","2,873","4,139","1,680","3,120","7,382","3,708","5,926","4,201","4,192","4,325","7,409","2,775"
2020,4,30,"150,694","11,204","1,687","15,933","6,858",683,498,752,895,544,"1,019",913,381,"1,141","4,512","9,330","4,601","3,309","6,044","1,638","3,136","9,774","4,550","8,568","10,051","9,525","7,690","18,650","6,808"
2020,4,40,"158,774","15,397","2,809","16,648","6,470","1,025",688,"1,010","1,465",835,"1,500","1,329",499,"1,687","3,547","7,758","5,159","5,477","5,961","2,792","4,018","10,373","8,790","8,348","12,999","7,457","5,441","15,079","4,213"
2020,4,50,"110,682","11,913","3,462","10,461","6,259","1,556","1,264","1,437","2,193","1,616","2,341","2,219",939,"2,390","2,366","5,718","3,950","3,157","4,447","2,198","4,161","6,044","4,534","3,967","5,012","3,885","3,096","7,722","2,375"
2020,4,60,"64,693","7,354","2,628","5,874","4,145","1,251","1,089","1,191","1,979","1,584","1,819","1,960",812,"1,853",951,"3,263","2,246","1,619","2,230","1,274","2,825","2,212","1,892","1,946","1,908","2,242","1,478","3,724","1,344"
2020,4,70,"30,860","3,539","1,617","2,860","1,971",721,646,693,"1,253",827,838,"1,104",433,"1,011",225,"1,475","1,149",937,735,643,"1,288",908,"1,026","1,132",724,974,564,"1,163",404
2020,4,80,"13,890","1,367",832,"1,367",930,354,386,345,729,523,504,639,258,554,107,591,421,412,296,246,557,356,353,380,261,324,224,418,156
2020,4,90,"1,922",222,107,162,131,46,66,47,128,76,74,62,30,71,16,80,55,50,51,28,61,44,43,48,46,46,39,66,27
2020,4,100,108,13,5,10,3,3,3,4,8,9,5,7,1,8,0,2,1,1,2,2,8,2,3,1,0,3,1,3,0
2020,5,총,"834,378","78,889","17,453","84,296","39,646","7,317","5,835","6,943","10,953","7,077","9,914","10,250","4,021","11,353","19,495","44,168","28,214","24,521","32,514","13,841","23,392","50,736","36,059","41,855","53,622","39,093","30,463","77,428","25,030"
2020,5,0,"105,931","8,404","1,004","10,867","4,063",329,251,277,486,188,316,414,114,459,"3,584","4,681","2,792","2,687","4,557","1,448","1,911","6,572","4,629","6,143","9,809","6,194","4,517","14,709","4,526"
2020,5,10,"94,503","9,763","1,477","9,828","3,411",500,334,433,817,306,472,622,167,807,"1,845","4,021","3,167","4,006","3,975","1,884","2,310","6,936","6,494","5,295","8,522","3,937","2,839","8,226","2,109"
2020,5,20,"100,281","9,635","1,810","10,028","5,305",854,596,750,999,568,"1,010",985,388,"1,332","2,296","7,098","4,686","2,889","4,161","1,682","3,112","7,419","3,702","5,946","4,220","4,228","4,383","7,389","2,810"
2020,5,30,"150,853","11,149","1,687","15,966","6,855",686,507,747,892,544,"1,025",896,378,"1,163","4,510","9,353","4,578","3,284","6,051","1,633","3,114","9,802","4,520","8,557","10,011","9,614","7,766","18,634","6,931"
2020,5,40,"159,242","15,421","2,802","16,707","6,473","1,010",690,998,"1,459",827,"1,491","1,329",494,"1,694","3,574","7,780","5,140","5,470","5,960","2,787","3,998","10,374","8,783","8,378","13,037","7,565","5,511","15,213","4,277"
2020,5,50,"111,363","11,957","3,475","10,535","6,300","1,559","1,261","1,443","2,194","1,606","2,344","2,215",944,"2,404","2,370","5,777","3,947","3,158","4,477","2,205","4,172","6,089","4,592","3,996","5,059","3,916","3,129","7,826","2,413"
2020,5,60,"65,122","7,388","2,638","5,930","4,182","1,251","1,092","1,197","1,980","1,593","1,829","1,973",809,"1,846",968,"3,280","2,268","1,628","2,238","1,286","2,855","2,219","1,898","1,970","1,925","2,274","1,489","3,757","1,359"
2020,5,70,"31,074","3,573","1,614","2,882","1,983",722,650,704,"1,255",834,844,"1,107",432,"1,015",224,"1,488","1,159",939,743,645,"1,294",920,"1,036","1,138",729,986,568,"1,177",413
2020,5,80,"13,953","1,367",832,"1,381",933,356,386,342,735,527,502,639,263,552,108,607,421,408,298,242,555,359,356,382,261,331,219,427,164
