년도,월,나이,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020,1,총,"39,877","1,872","1,310",582,"1,038",928,"1,133",789,836,802,484,800,970,"1,147",971,"1,025","1,367","1,713","1,658","2,846","3,295","2,039","3,726","8,546"
2020,1,0,"2,798",88,58,25,33,35,43,33,35,31,22,34,41,49,59,46,64,107,96,276,343,111,240,929
2020,1,10,"3,936",106,78,34,68,60,75,37,53,39,22,42,63,101,67,89,116,187,140,301,380,205,332,"1,341"
2020,1,20,"4,283",150,130,43,85,90,77,41,57,70,36,60,77,100,67,74,121,216,210,359,344,275,469,"1,132"
2020,1,30,"3,412",119,81,35,78,50,70,50,62,38,33,41,55,72,66,60,76,151,130,332,332,225,340,916
2020,1,40,"5,751",199,185,73,110,115,157,94,95,80,46,107,117,127,112,146,178,232,255,438,571,269,529,"1,516"
2020,1,50,"7,339",377,259,104,228,174,196,137,178,182,89,152,203,247,186,274,278,322,286,506,518,332,740,"1,371"
2020,1,60,"6,197",414,261,117,211,187,241,177,177,141,110,117,174,221,201,177,282,230,261,336,445,326,560,831
2020,1,70,"4,019",250,170,87,130,126,170,124,116,131,80,147,154,130,142,108,170,180,193,216,263,210,358,364
2020,1,80,"1,927",158,73,54,86,83,97,84,54,79,40,88,79,89,60,49,77,79,74,76,92,78,144,134
2020,1,90,205,10,15,10,9,8,7,11,8,11,6,9,6,11,11,2,5,9,13,5,6,7,14,12
2020,1,100,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020,2,총,"39,875","1,878","1,325",578,"1,032",925,"1,135",794,834,801,482,809,969,"1,144",959,"1,024","1,360","1,693","1,647","2,927","3,292","2,021","3,730","8,516"
2020,2,0,"2,789",87,59,27,33,35,41,34,34,30,22,36,41,51,58,46,63,101,94,294,341,110,233,919
2020,2,10,"3,915",106,79,33,66,60,75,38,50,42,22,42,60,98,67,89,116,183,137,302,378,202,333,"1,337"
2020,2,20,"4,250",148,134,42,82,88,77,43,56,68,36,58,77,97,63,77,117,210,208,371,345,272,466,"1,115"
2020,2,30,"3,408",120,81,33,76,48,70,49,63,39,31,40,54,72,63,58,72,147,128,346,332,221,345,920
