년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020,1,총,"42,735","6,821","18,548","8,750","8,616"
2020,1,0,"4,090",656,"1,319","1,324",791
2020,1,10,"6,505",883,"2,490","2,010","1,122"
2020,1,20,"4,924",739,"2,424",762,999
2020,1,30,"4,742",696,"1,716","1,376",954
2020,1,40,"8,462","1,136","3,300","2,464","1,562"
2020,1,50,"6,761","1,256","3,434",635,"1,436"
2020,1,60,"4,058",882,"1,995",83,"1,098"
2020,1,70,"1,944",366,"1,089",65,424
2020,1,80,"1,069",167,676,28,198
2020,1,90,169,36,100,3,30
2020,1,100,11,4,5,0,2
2020,2,총,"42,648","6,784","18,408","8,821","8,635"
2020,2,0,"4,034",642,"1,290","1,315",787
2020,2,10,"6,516",890,"2,444","2,053","1,129"
2020,2,20,"4,871",711,"2,395",765,"1,000"
2020,2,30,"4,683",688,"1,690","1,355",950
2020,2,40,"8,474","1,115","3,279","2,510","1,570"
2020,2,50,"6,781","1,273","3,422",643,"1,443"
2020,2,60,"4,090",884,"2,017",86,"1,103"
2020,2,70,"1,951",366,"1,096",64,425
2020,2,80,"1,069",172,673,27,197
2020,2,90,168,39,97,3,29
2020,2,100,11,4,5,0,2
2020,3,총,"42,663","6,830","18,363","8,842","8,628"
2020,3,0,"4,053",636,"1,289","1,344",784
2020,3,10,"6,491",895,"2,434","2,030","1,132"
2020,3,20,"4,867",731,"2,384",758,994
2020,3,30,"4,710",697,"1,672","1,402",939
2020,3,40,"8,432","1,116","3,258","2,491","1,567"
2020,3,50,"6,797","1,287","3,435",640,"1,435"
2020,3,60,"4,119",898,"2,021",91,"1,109"
2020,3,70,"1,945",359,"1,097",58,431
2020,3,80,"1,069",168,671,25,205
2020,3,90,170,40,97,3,30
2020,3,100,10,3,5,0,2
2020,4,총,"42,757","6,817","18,339","8,946","8,655"
2020,4,0,"4,047",633,"1,280","1,352",782
2020,4,10,"6,483",891,"2,427","2,038","1,127"
