년도,월,나이,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020,1,90,"1,811",68,72,95,43,42,35,49,36,52,37,40,95,65,52,31,42,31,54,96,52,85,158,32,101,27,49,114,70,88
2020,1,100,100,6,2,8,5,2,3,0,1,4,2,2,6,0,4,3,4,3,3,9,3,3,3,2,3,0,3,12,2,2
2020,2,총,"286,096","7,134","8,084","7,428","2,330","1,611","1,956","2,697","3,183","3,038","3,409","5,446","4,515","4,598","2,653","1,603","3,525","4,981","7,277","22,587","9,405","12,037","39,055","8,815","24,029","14,701","25,126","15,543","6,842","32,488"
2020,2,0,"20,575",406,585,306,64,34,34,81,118,93,196,336,99,190,71,23,108,331,346,"1,764",448,524,"3,940",959,"1,695","1,405","2,406",653,595,"2,765"
2020,2,10,"29,054",598,631,556,142,72,101,158,167,138,172,391,218,299,122,87,167,353,443,"2,287",714,912,"4,369",948,"2,881","2,237","3,538","1,172",707,"4,474"
2020,2,20,"36,781",670,726,708,197,106,139,179,237,154,353,724,279,411,268,110,361,498,927,"2,573","1,390","1,426","4,939",928,"3,551","2,230","3,413","3,929",776,"4,579"
2020,2,30,"30,163",586,875,563,126,69,105,159,219,171,288,492,254,368,163,73,341,603,824,"2,508",914,"1,076","4,714","1,252","2,529","1,754","3,179","1,451",898,"3,609"
2020,2,40,"43,212",874,"1,083",880,221,146,189,249,341,262,341,599,435,545,266,153,437,763,902,"3,503","1,222","1,577","6,337","1,448","3,715","2,941","4,970","1,764","1,085","5,964"
2020,2,50,"49,941","1,260","1,462","1,377",456,284,386,390,565,541,573,973,792,873,554,246,587,961,"1,177","4,029","1,930","2,015","6,502","1,309","4,703","2,400","4,304","2,356","1,094","5,842"
2020,2,60,"38,642","1,346","1,351","1,364",441,362,418,606,650,702,620,974,985,875,504,369,713,814,"1,299","3,272","1,575","2,142","4,522","1,050","3,035",917,"1,976","1,998",832,"2,930"
2020,2,70,"23,539",838,804,960,397,277,328,511,525,559,511,605,809,560,377,309,554,436,892,"1,723",824,"1,661","2,419",637,"1,234",549,882,"1,403",491,"1,464"
2020,2,80,"12,265",480,492,606,240,218,218,315,323,363,316,310,541,408,273,197,213,188,411,823,335,624,"1,150",249,580,239,404,687,292,770
2020,2,90,"1,822",70,73,99,42,41,35,49,37,51,37,40,97,69,51,33,40,31,54,95,50,77,159,33,103,29,51,117,70,89
2020,2,100,102,6,2,9,4,2,3,0,1,4,2,2,6,0,4,3,4,3,2,10,3,3,4,2,3,0,3,13,2,2
2020,3,총,"285,431","7,094","8,043","7,400","2,326","1,613","1,960","2,687","3,169","3,029","3,406","5,426","4,488","4,591","2,645","1,604","3,527","4,976","7,230","22,563","9,374","11,970","38,966","8,749","23,962","14,655","25,127","15,625","6,816","32,410"
2020,3,0,"20,424",405,574,296,66,33,32,78,119,94,195,334,93,193,68,23,107,342,346,"1,736",445,521,"3,906",957,"1,681","1,376","2,407",660,595,"2,742"
2020,3,10,"28,887",595,625,550,138,71,105,161,164,136,171,381,211,293,115,89,171,355,437,"2,271",704,903,"4,366",944,"2,860","2,219","3,514","1,208",694,"4,436"
2020,3,20,"36,651",660,716,705,192,106,137,175,230,151,339,714,276,408,271,108,355,490,907,"2,580","1,387","1,402","4,917",912,"3,522","2,253","3,435","3,959",771,"4,573"
2020,3,30,"29,899",574,866,550,128,66,104,158,212,169,291,484,249,365,158,73,337,601,815,"2,493",904,"1,076","4,677","1,242","2,527","1,715","3,154","1,453",886,"3,572"
2020,3,40,"43,006",851,"1,075",861,219,145,187,248,335,262,333,602,425,547,265,155,439,752,896,"3,488","1,219","1,547","6,325","1,449","3,700","2,932","4,961","1,769","1,088","5,931"
2020,3,50,"49,791","1,253","1,457","1,374",453,282,385,386,563,540,577,970,786,866,555,246,578,956,"1,176","4,044","1,912","2,016","6,450","1,281","4,679","2,408","4,317","2,331","1,093","5,857"
2020,3,60,"38,833","1,354","1,354","1,368",442,368,425,606,656,697,628,971,984,876,505,365,723,813,"1,293","3,278","1,586","2,120","4,573","1,053","3,064",931,"1,992","2,011",835,"2,962"
2020,3,70,"23,673",838,812,974,399,276,329,510,530,561,511,613,813,567,383,309,556,443,894,"1,741",822,"1,671","2,431",629,"1,245",549,884,"1,414",496,"1,473"
2020,3,80,"12,323",486,489,612,241,222,217,314,322,366,320,314,546,406,271,200,217,189,413,829,341,633,"1,152",246,578,242,408,693,285,771
2020,3,90,"1,838",72,73,100,44,42,36,51,37,49,39,41,98,70,50,33,40,32,51,93,51,78,165,34,103,30,51,114,70,91
2020,3,100,106,6,2,10,4,2,3,0,1,4,2,2,7,0,4,3,4,3,2,10,3,3,4,2,3,0,4,13,3,2
2020,4,총,"285,255","7,081","8,040","7,382","2,331","1,611","1,971","2,687","3,162","3,038","3,412","5,418","4,494","4,606","2,659","1,603","3,542","4,961","7,239","22,568","9,381","11,911","38,940","8,722","23,954","14,632","25,103","15,639","6,789","32,379"
2020,4,0,"20,345",400,579,300,68,33,33,78,118,92,195,333,94,193,72,22,108,344,347,"1,718",447,526,"3,892",946,"1,670","1,361","2,404",658,581,"2,733"
2020,4,10,"28,759",601,623,540,138,71,107,158,159,137,176,374,209,293,116,91,173,352,441,"2,267",711,879,"4,355",949,"2,856","2,192","3,494","1,192",696,"4,409"
2020,4,20,"36,688",648,710,703,188,104,136,176,228,155,335,712,275,406,273,106,354,497,911,"2,575","1,385","1,400","4,927",898,"3,521","2,270","3,452","3,975",774,"4,594"
2020,4,30,"29,738",570,861,548,130,63,104,156,211,167,291,482,249,361,158,72,340,589,823,"2,481",895,"1,064","4,640","1,238","2,511","1,715","3,124","1,457",877,"3,561"
2020,4,40,"42,872",845,"1,087",853,224,147,185,250,328,259,336,603,425,546,263,155,437,750,886,"3,492","1,218","1,534","6,311","1,451","3,704","2,911","4,945","1,755","1,073","5,899"
2020,4,50,"49,730","1,253","1,441","1,368",449,278,383,387,570,540,571,965,783,870,558,244,582,949,"1,177","4,038","1,903","1,998","6,434","1,271","4,658","2,426","4,331","2,335","1,100","5,868"
2020,4,60,"39,040","1,361","1,365","1,371",442,371,433,602,658,704,624,974,994,890,510,364,724,814,"1,293","3,291","1,600","2,124","4,618","1,054","3,082",936,"2,007","2,022",831,"2,981"
2020,4,70,"23,746",841,811,974,393,278,333,514,532,558,517,620,809,563,384,308,559,444,895,"1,764",826,"1,669","2,440",634,"1,267",546,886,"1,420",499,"1,462"
2020,4,80,"12,384",489,487,614,250,222,217,315,321,372,325,312,548,411,273,205,219,188,413,836,342,639,"1,150",247,579,244,406,697,283,780
2020,4,90,"1,847",67,74,101,45,42,37,51,36,50,40,41,101,73,48,33,42,31,51,96,51,75,168,32,104,31,50,115,72,90
2020,4,100,106,6,2,10,4,2,3,0,1,4,2,2,7,0,4,3,4,3,2,10,3,3,5,2,2,0,4,13,3,2
2020,5,총,"284,746","7,077","8,012","7,328","2,330","1,611","1,971","2,687","3,165","3,026","3,416","5,404","4,474","4,600","2,666","1,602","3,533","4,973","7,198","22,495","9,343","11,890","38,858","8,727","23,873","14,632","25,037","15,711","6,790","32,317"
2020,5,0,"20,198",397,569,294,68,31,34,79,116,91,195,334,94,190,73,23,110,349,343,"1,710",449,523,"3,838",945,"1,653","1,356","2,386",657,583,"2,708"
2020,5,10,"28,641",597,620,533,138,70,107,156,155,135,176,369,205,294,114,89,166,356,435,"2,256",689,870,"4,355",953,"2,836","2,177","3,496","1,214",695,"4,385"
2020,5,20,"36,562",646,712,693,181,103,135,183,235,153,335,714,271,406,273,108,351,492,897,"2,563","1,376","1,392","4,915",896,"3,480","2,282","3,417","4,008",758,"4,587"
2020,5,30,"29,551",561,837,537,127,62,103,154,207,162,293,475,247,356,156,71,342,590,816,"2,458",888,"1,059","4,607","1,227","2,494","1,713","3,118","1,475",880,"3,536"
2020,5,40,"42,722",841,"1,083",843,227,148,184,239,333,261,334,602,419,545,265,157,431,750,884,"3,479","1,221","1,534","6,288","1,448","3,701","2,893","4,936","1,742","1,068","5,866"
2020,5,50,"49,660","1,255","1,435","1,353",445,275,382,388,568,541,574,955,777,865,561,243,577,943,"1,170","4,020","1,891","1,987","6,445","1,277","4,641","2,449","4,328","2,326","1,103","5,886"
2020,5,60,"39,145","1,370","1,381","1,370",447,372,435,606,654,703,624,982,995,895,508,361,731,817,"1,286","3,296","1,591","2,121","4,626","1,055","3,103",940,"2,004","2,031",844,"2,997"
2020,5,70,"23,903",840,806,975,399,284,336,516,534,558,514,618,818,559,389,309,561,451,896,"1,778",837,"1,685","2,456",647,"1,279",551,890,"1,431",503,"1,483"
2020,5,80,"12,399",498,493,617,249,222,215,313,324,371,327,314,543,416,273,206,219,190,418,830,345,637,"1,153",246,581,242,403,695,282,777
2020,5,90,"1,858",66,74,103,45,42,37,53,38,47,42,39,98,73,50,32,41,32,51,95,53,79,170,31,103,29,55,119,71,90
2020,5,100,107,6,2,10,4,2,3,0,1,4,2,2,7,1,4,3,4,3,2,10,3,3,5,2,2,0,4,13,3,2
2020,6,총,"284,217","7,056","8,006","7,306","2,328","1,601","1,963","2,675","3,143","3,026","3,424","5,380","4,453","4,596","2,651","1,600","3,552","4,970","7,174","22,421","9,297","11,856","38,759","8,723","23,789","14,561","25,264","15,692","6,772","32,179"
2020,6,0,"20,021",384,566,291,66,31,35,76,113,92,196,332,91,193,72,23,110,351,334,"1,678",436,517,"3,791",942,"1,641","1,347","2,400",660,583,"2,670"
2020,6,10,"28,561",602,625,527,140,69,107,154,150,136,178,375,203,294,116,87,165,351,433,"2,247",685,867,"4,362",959,"2,809","2,145","3,526","1,201",691,"4,357"
2020,6,20,"36,512",640,706,683,181,99,131,184,225,149,335,703,270,410,266,109,369,504,904,"2,557","1,363","1,385","4,894",887,"3,465","2,285","3,463","4,023",746,"4,576"
2020,6,30,"29,343",560,834,535,128,63,101,151,206,166,288,475,239,354,158,70,344,580,800,"2,431",875,"1,055","4,568","1,227","2,463","1,702","3,135","1,460",878,"3,497"
2020,6,40,"42,642",836,"1,075",846,227,146,187,235,329,264,337,600,415,536,260,155,437,743,881,"3,466","1,213","1,523","6,289","1,454","3,704","2,870","4,991","1,743","1,061","5,819"
2020,6,50,"49,461","1,242","1,427","1,354",443,275,372,385,568,540,575,947,768,854,558,242,579,942,"1,160","4,022","1,873","1,970","6,410","1,267","4,612","2,446","4,354","2,310","1,099","5,867"
2020,6,60,"39,325","1,382","1,390","1,364",449,370,444,605,655,698,627,977,996,904,510,362,726,823,"1,289","3,292","1,604","2,124","4,657","1,064","3,124",944,"2,033","2,029",856,"3,027"
2020,6,70,"24,007",843,812,978,398,284,332,520,532,563,516,617,817,563,387,312,565,450,901,"1,792",850,"1,696","2,455",645,"1,290",552,898,"1,439",508,"1,492"
2020,6,80,"12,372",494,493,617,247,219,214,313,326,367,327,312,548,413,269,206,213,192,420,831,342,634,"1,156",245,578,240,405,695,276,780
2020,6,90,"1,868",67,76,101,45,43,37,52,38,47,43,40,98,74,51,31,39,31,50,95,54,82,173,31,101,30,56,120,71,92
2020,6,100,105,6,2,10,4,2,3,0,1,4,2,2,8,1,4,3,5,3,2,10,2,3,4,2,2,0,3,12,3,2
2020,7,총,"283,853","7,078","7,981","7,300","2,310","1,597","1,940","2,677","3,145","3,041","3,420","5,363","4,468","4,593","2,650","1,595","3,528","4,960","7,128","22,634","9,236","11,812","38,722","8,659","23,666","14,483","25,425","15,654","6,743","32,045"
2020,7,0,"19,887",385,549,288,64,31,34,73,114,95,193,333,91,192,71,23,105,348,324,"1,728",424,516,"3,763",919,"1,617","1,326","2,398",668,570,"2,645"
2020,7,10,"28,454",604,622,528,137,66,102,150,147,135,175,375,204,298,116,87,163,349,429,"2,256",673,865,"4,366",967,"2,794","2,137","3,525","1,185",688,"4,311"
2020,7,20,"36,377",643,706,683,177,98,126,185,221,151,335,698,269,407,260,106,362,504,905,"2,558","1,351","1,373","4,893",882,"3,408","2,266","3,511","3,995",741,"4,563"
2020,7,30,"29,191",562,821,529,127,63,98,153,206,165,287,470,242,345,158,68,327,573,787,"2,463",872,"1,045","4,533","1,215","2,464","1,685","3,152","1,450",867,"3,464"
2020,7,40,"42,525",836,"1,064",841,226,141,180,238,332,267,337,593,414,536,258,155,434,727,867,"3,519","1,198","1,516","6,284","1,446","3,677","2,846","5,014","1,747","1,054","5,778"
2020,7,50,"49,454","1,240","1,411","1,349",439,276,370,386,569,544,577,944,770,850,557,236,584,950,"1,156","4,043","1,870","1,953","6,404","1,265","4,600","2,450","4,393","2,312","1,091","5,865"
2020,7,60,"39,433","1,384","1,409","1,373",446,374,439,607,656,699,630,979,998,904,513,367,727,823,"1,286","3,311","1,598","2,126","4,669","1,050","3,130",947,"2,057","2,031",858,"3,042"
2020,7,70,"24,148",853,824,981,400,287,337,517,534,566,516,619,825,574,392,309,568,459,895,"1,813",852,"1,699","2,472",642,"1,297",555,907,"1,440",518,"1,497"
2020,7,80,"12,394",497,496,614,245,217,214,316,322,365,327,311,550,412,270,207,213,193,423,838,342,636,"1,156",242,577,242,409,694,280,786
2020,7,90,"1,884",68,77,104,45,42,37,52,43,50,41,39,97,74,51,34,40,31,54,95,54,80,177,29,100,29,56,120,73,92
2020,7,100,106,6,2,10,4,2,3,0,1,4,2,2,8,1,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020,8,총,"283,496","7,066","7,988","7,252","2,316","1,581","1,944","2,660","3,119","3,035","3,402","5,346","4,450","4,583","2,643","1,594","3,519","4,933","7,119","22,766","9,200","11,777","38,665","8,652","23,600","14,470","25,449","15,670","6,743","31,954"
2020,8,0,"19,772",386,546,277,64,30,33,72,107,95,188,332,95,190,73,23,100,338,324,"1,745",418,508,"3,729",922,"1,588","1,324","2,411",668,570,"2,616"
2020,8,10,"28,291",608,624,529,139,64,102,147,146,135,172,365,201,296,113,88,156,346,430,"2,267",668,861,"4,354",976,"2,778","2,120","3,496","1,155",680,"4,275"
2020,8,20,"36,311",634,704,679,178,96,129,174,218,150,332,694,268,394,255,102,363,499,907,"2,571","1,334","1,363","4,875",870,"3,403","2,268","3,520","4,020",746,"4,565"
2020,8,30,"29,079",551,817,527,129,61,97,152,196,161,283,467,238,347,159,66,324,561,791,"2,494",860,"1,036","4,510","1,205","2,441","1,671","3,149","1,484",866,"3,436"
2020,8,40,"42,427",833,"1,066",822,224,137,179,231,334,270,337,587,412,532,255,156,431,726,856,"3,531","1,199","1,506","6,286","1,448","3,670","2,838","5,013","1,724","1,053","5,771"
2020,8,50,"49,301","1,241","1,405","1,339",441,268,374,385,561,539,577,946,757,854,549,234,578,947,"1,136","4,038","1,857","1,946","6,394","1,267","4,549","2,457","4,411","2,313","1,089","5,849"
2020,8,60,"39,666","1,382","1,414","1,377",445,378,439,609,659,702,632,982,998,912,521,368,738,832,"1,304","3,342","1,608","2,118","4,694","1,048","3,184",951,"2,068","2,031",867,"3,063"
2020,8,70,"24,239",862,840,980,401,284,336,521,529,567,514,623,831,573,392,312,571,461,888,"1,830",855,"1,709","2,477",641,"1,305",569,911,"1,443",515,"1,499"
2020,8,80,"12,397",491,495,609,244,218,215,316,326,361,322,309,544,411,271,208,211,189,428,839,346,644,"1,165",245,576,241,410,697,280,786
2020,8,90,"1,907",72,75,103,47,43,37,53,42,51,43,39,99,72,51,34,42,31,53,99,53,83,176,28,104,31,57,123,74,92
2020,8,100,106,6,2,10,4,2,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020,9,총,"283,064","7,035","7,980","7,230","2,313","1,579","1,934","2,658","3,099","3,026","3,384","5,313","4,431","4,579","2,633","1,585","3,511","4,916","7,091","22,788","9,246","11,766","38,585","8,628","23,483","14,483","25,468","15,703","6,742","31,875"
2020,9,0,"19,610",382,539,273,67,29,34,73,107,96,182,329,89,187,74,23,103,333,318,"1,745",421,495,"3,700",915,"1,569","1,311","2,390",658,571,"2,597"
2020,9,10,"28,153",609,618,523,138,63,100,146,139,133,169,353,201,298,112,85,150,344,427,"2,257",680,846,"4,350",976,"2,757","2,122","3,494","1,134",668,"4,261"
2020,9,20,"36,298",627,707,673,175,94,124,175,219,143,332,682,270,402,251,103,363,500,901,"2,558","1,334","1,371","4,871",872,"3,387","2,280","3,523","4,082",758,"4,521"
2020,9,30,"28,866",545,813,531,128,61,95,149,195,160,275,461,229,341,159,68,323,548,794,"2,490",863,"1,022","4,447","1,200","2,417","1,657","3,145","1,478",859,"3,413"
2020,9,40,"42,279",818,"1,067",811,222,139,177,232,328,265,340,580,411,534,251,153,419,718,848,"3,527","1,213","1,500","6,289","1,440","3,633","2,827","4,994","1,729","1,054","5,760"
2020,9,50,"49,198","1,236","1,397","1,331",436,270,367,378,555,532,571,940,748,845,549,230,571,948,"1,135","4,036","1,864","1,945","6,369","1,265","4,528","2,476","4,434","2,315","1,084","5,843"
2020,9,60,"39,874","1,386","1,415","1,382",442,373,443,610,659,713,637,994,"1,003",915,522,365,744,837,"1,304","3,371","1,614","2,119","4,733","1,049","3,203",967,"2,099","2,025",870,"3,080"
2020,9,70,"24,329",864,848,983,407,287,339,520,528,565,513,622,830,574,392,314,577,463,884,"1,848",847,"1,729","2,479",630,"1,314",575,916,"1,446",519,"1,516"
2020,9,80,"12,418",487,497,607,246,218,215,322,327,364,319,309,541,407,267,208,213,190,429,843,354,652,"1,169",250,568,238,411,703,280,784
2020,9,90,"1,933",75,77,106,48,43,37,53,41,51,44,41,102,74,52,33,43,32,49,103,54,84,173,29,105,30,59,121,76,98
2020,9,100,106,6,2,10,4,2,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020,10,총,"282,847","7,042","7,971","7,215","2,315","1,577","1,948","2,652","3,095","3,020","3,369","5,316","4,422","4,598","2,629","1,580","3,490","4,896","7,087","22,771","9,462","11,725","38,486","8,577","23,426","14,476","25,468","15,736","6,722","31,776"
2020,10,0,"19,445",381,542,271,66,28,35,72,109,95,184,327,87,188,72,23,103,319,319,"1,734",435,487,"3,680",888,"1,550","1,303","2,357",647,564,"2,579"
2020,10,10,"28,070",598,621,517,138,62,99,144,138,133,164,357,203,301,108,86,150,340,424,"2,244",724,845,"4,331",971,"2,748","2,097","3,477","1,153",661,"4,236"
2020,10,20,"36,356",631,702,681,175,96,129,178,219,142,328,680,266,404,250,101,361,508,900,"2,570","1,366","1,364","4,844",878,"3,388","2,297","3,533","4,111",756,"4,498"
2020,10,30,"28,685",540,807,526,127,62,97,147,197,161,272,464,226,341,161,68,315,532,786,"2,475",882,"1,002","4,417","1,177","2,397","1,654","3,126","1,475",853,"3,398"
2020,10,40,"42,190",815,"1,056",794,223,139,175,230,327,266,338,587,406,541,244,151,419,717,854,"3,510","1,262","1,504","6,281","1,444","3,603","2,819","5,003","1,728","1,050","5,704"
2020,10,50,"49,104","1,240","1,391","1,331",438,267,366,370,550,527,564,931,744,834,555,229,566,949,"1,121","4,027","1,901","1,933","6,330","1,264","4,510","2,483","4,447","2,310","1,078","5,848"
2020,10,60,"40,066","1,394","1,425","1,384",441,374,446,614,656,714,642,995,"1,004",925,524,362,742,841,"1,314","3,387","1,624","2,120","4,764","1,043","3,226",975,"2,122","2,021",880,"3,107"
2020,10,70,"24,431",868,848,984,410,290,342,524,530,562,511,621,837,579,391,317,570,467,892,"1,858",856,"1,733","2,489",630,"1,322",578,927,"1,453",522,"1,520"
2020,10,80,"12,447",488,499,608,245,217,217,322,326,364,321,311,540,410,269,207,215,189,427,852,353,648,"1,171",252,568,239,415,708,279,787
2020,10,90,"1,946",81,77,108,48,41,39,51,42,52,43,41,102,73,51,33,44,31,48,104,57,86,174,28,112,31,58,118,76,97
2020,10,100,107,6,3,11,4,1,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020,11,총,"282,582","6,997","7,937","7,194","2,308","1,572","1,951","2,654","3,096","3,032","3,367","5,305","4,410","4,599","2,623","1,581","3,478","4,882","7,086","22,756","9,487","11,745","38,411","8,580","23,438","14,446","25,464","15,729","6,702","31,752"
2020,11,0,"19,300",369,536,263,65,27,35,74,108,91,183,327,90,189,68,23,104,316,319,"1,715",427,487,"3,681",881,"1,550","1,291","2,324",632,553,"2,572"
2020,11,10,"28,009",595,623,513,132,63,97,143,137,139,164,351,201,300,106,85,143,333,422,"2,249",725,856,"4,321",972,"2,728","2,097","3,481","1,156",660,"4,217"
2020,11,20,"36,322",629,687,673,177,95,132,179,214,142,320,673,266,399,242,101,374,506,908,"2,557","1,385","1,362","4,805",893,"3,371","2,301","3,545","4,142",752,"4,492"
2020,11,30,"28,557",532,795,525,125,63,93,151,200,159,278,468,224,340,163,69,304,532,782,"2,451",888,"1,001","4,405","1,187","2,401","1,626","3,109","1,473",839,"3,374"
2020,11,40,"42,066",814,"1,058",786,218,134,173,225,328,268,337,581,400,537,241,150,427,717,846,"3,518","1,263","1,504","6,250","1,439","3,619","2,803","4,987","1,711","1,054","5,678"
2020,11,50,"49,056","1,227","1,376","1,330",441,265,365,371,553,521,559,933,742,828,553,229,554,942,"1,124","4,021","1,899","1,934","6,312","1,260","4,524","2,489","4,470","2,296","1,081","5,857"
2020,11,60,"40,237","1,392","1,436","1,391",440,378,450,615,661,725,640,999,"1,008",932,530,364,739,839,"1,313","3,396","1,639","2,134","4,776","1,049","3,234",986,"2,131","2,019",883,"3,138"
2020,11,70,"24,499",864,849,981,411,286,345,525,529,564,521,619,837,580,393,315,568,470,892,"1,883",852,"1,734","2,510",617,"1,322",581,940,"1,452",523,"1,536"
2020,11,80,"12,466",488,498,614,246,219,218,321,326,364,319,309,534,416,270,209,217,193,429,851,352,647,"1,172",251,572,239,418,712,277,785
2020,11,90,"1,962",81,76,107,49,41,40,50,39,55,44,43,101,76,53,33,43,31,49,105,55,83,174,29,114,33,56,124,77,101
2020,11,100,108,6,3,11,4,1,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,3,0,3,12,3,2
2020,12,총,"282,276","6,960","7,892","7,186","2,324","1,576","1,940","2,671","3,109","3,007","3,357","5,295","4,409","4,597","2,612","1,578","3,468","4,867","7,093","22,766","9,488","11,687","38,469","8,559","23,388","14,463","25,428","15,622","6,719","31,746"
2020,12,0,"19,166",362,530,270,64,27,35,74,106,90,182,324,92,186,66,24,104,312,316,"1,700",439,487,"3,664",876,"1,533","1,269","2,294",629,553,"2,558"
2020,12,10,"27,908",582,614,507,132,63,92,149,141,146,167,341,203,291,106,85,142,330,419,"2,257",718,844,"4,339",973,"2,726","2,095","3,463","1,124",655,"4,204"
2020,12,20,"36,202",631,680,659,179,96,131,181,218,138,314,674,265,398,238,100,377,506,920,"2,553","1,388","1,335","4,767",898,"3,336","2,327","3,559","4,063",763,"4,508"
2020,12,30,"28,467",526,779,533,127,64,89,154,200,155,275,464,220,343,159,69,302,518,777,"2,435",903,998,"4,402","1,170","2,404","1,618","3,089","1,478",841,"3,375"
2020,12,40,"41,935",813,"1,046",782,223,133,172,229,327,265,339,586,400,540,237,149,425,716,844,"3,495","1,260","1,491","6,255","1,439","3,605","2,795","4,953","1,698","1,047","5,671"
2020,12,50,"48,996","1,212","1,368","1,325",436,267,357,367,558,514,553,926,741,824,554,229,550,939,"1,134","4,042","1,892","1,933","6,318","1,255","4,488","2,499","4,489","2,293","1,097","5,836"
2020,12,60,"40,484","1,400","1,439","1,401",452,381,456,614,661,718,643,"1,006","1,013",944,527,362,740,842,"1,303","3,430","1,637","2,133","4,817","1,052","3,283","1,005","2,161","2,028",887,"3,149"
2020,12,70,"24,521",862,852,979,410,282,344,529,532,557,519,620,834,571,395,315,565,478,897,"1,887",848,"1,722","2,538",612,"1,321",582,939,"1,460",520,"1,551"
2020,12,80,"12,506",485,502,607,246,222,221,323,327,368,321,309,531,422,273,210,213,192,429,849,352,659,"1,181",254,576,240,420,709,275,790
2020,12,90,"1,985",81,79,112,51,40,40,51,38,52,42,43,103,76,54,32,45,31,52,109,49,82,182,28,113,33,58,129,78,102
2020,12,100,106,6,3,11,4,1,3,0,1,4,2,2,7,2,3,3,5,3,2,9,2,3,6,2,3,0,3,11,3,2
2021,1,총,"281,539","6,939","7,869","7,161","2,312","1,571","1,937","2,679","3,108","3,019","3,323","5,305","4,382","4,577","2,613","1,582","3,455","4,858","7,110","22,697","9,455","11,644","38,369","8,590","23,357","14,427","25,377","15,447","6,720","31,656"
